iter	Passed	Remaining
971	24466	704
972	24491	679
973	24516	654
974	24541	629
975	24568	604
976	24594	578
977	24619	553
978	24644	528
979	24672	503
980	24697	478
981	24722	453
982	24748	427
983	24773	402
984	24798	377
985	24823	352
986	24848	327
987	24873	302
988	24899	276
989	24923	251
990	24946	226
991	24970	201
992	24995	176
993	25018	151
994	25042	125
995	25066	100
996	25090	75
997	25117	50
998	25143	25
999	25167	0
